iter	RMSE
0	0.2490893215
1	0.2453052455
2	0.2407103878
3	0.2364659012
4	0.2321100198
5	0.228343695
6	0.2245994536
7	0.2206718002
8	0.2167960145
9	0.2132741728
10	0.2101880193
11	0.2079719215
12	0.204990279
13	0.2018807728
14	0.1995272251
15	0.197196587
16	0.1945853631
17	0.1920000677
18	0.1889590641
19	0.1861709501
20	0.183729465
21	0.1809790784
22	0.1790809413
23	0.176944853
24	0.1744251551
25	0.1727317024
26	0.1706495437
27	0.1689586786
28	0.1672339077
29	0.1657311797
30	0.1643249414
31	0.1625432637
32	0.1609309448
33	0.1596711323
34	0.1585293611
35	0.1570869365
36	0.1560979003
37	0.1548309412
38	0.1530589198
39	0.151618859
40	0.1502553417
41	0.1488700995
42	0.1477197741
43	0.146121235
44	0.1449494214
45	0.1439342858
46	0.1429905447
47	0.1417680098
48	0.1406923377
49	0.1398356971
50	0.1390403493
51	0.1381095341
52	0.1372803265
53	0.1364946476
54	0.135704202
55	0.1351350562
56	0.1342912269
57	0.1333935
58	0.1327412242
59	0.1317926405
60	0.1309906478
61	0.1300808569
62	0.1291237374
63	0.1285543642
64	0.1278732405
65	0.1272540958
66	0.1267697249
67	0.1262696442
68	0.1255345315
69	0.124998473
70	0.1245776565
71	0.1241583726
72	0.1235391733
73	0.1230389518
74	0.1225023019
75	0.121937275
76	0.1213080392
77	0.1207980342
78	0.1203248949
79	0.1199010121
80	0.1195997442
81	0.1189388312
82	0.1185139692
83	0.1181661135
84	0.1178357061
85	0.1173302935
86	0.116990007
87	0.1166815008
88	0.1163669591
89	0.1158891046
90	0.1154404194
91	0.1150134026
92	0.114462847
93	0.1138475702
94	0.1135100966
95	0.1129356908
96	0.1124702598
97	0.1120776
98	0.1115451067
99	0.1108938697
100	0.1105106372
101	0.1102673968
102	0.1098266676
103	0.1094166587
104	0.1091843052
105	0.1089694639
106	0.1084037157
107	0.1079195407
108	0.1074594695
109	0.1068637956
110	0.1066182405
111	0.1062724972
112	0.1058795926
113	0.1055058109
114	0.1049588151
115	0.1046337045
116	0.104437593
117	0.1041701063
118	0.1037936152
119	0.103512762
120	0.1031891653
121	0.102877177
122	0.102604696
123	0.1019522187
124	0.1018884095
125	0.1015523323
126	0.1010549918
127	0.1006017587
128	0.1001407079
129	0.0999321521
130	0.0996527913
131	0.09940973442
132	0.099182055
133	0.09889722434
134	0.09852338976
135	0.0982969904
136	0.09786382591
137	0.09755980512
138	0.09730692279
139	0.09701694774
140	0.09671466567
141	0.09657662156
142	0.09618270915
143	0.09592315798
144	0.09564791743
145	0.09528034922
146	0.09476938914
147	0.09464227139
148	0.09409288301
149	0.09385659688
150	0.09342537532
151	0.09326520946
152	0.09289696959
153	0.09252430073
154	0.09240002204
155	0.09207568333
156	0.0918361881
157	0.09158854993
158	0.09137951969
159	0.0912259826
160	0.09084333917
161	0.09066335788
162	0.09038316166
163	0.0901811289
164	0.09000142312
165	0.08985529349
166	0.08960062702
167	0.08938123542
168	0.0892122822
169	0.08887659654
170	0.08881019712
171	0.08848841592
172	0.08826157575
173	0.08803408075
174	0.0878334527
175	0.08751250437
176	0.08741670477
177	0.08717353563
178	0.08697856308
179	0.08675151771
180	0.08659620174
181	0.08619835185
182	0.08597403739
183	0.08570670128
184	0.08545319313
185	0.08517234504
186	0.08492460134
187	0.08466798827
188	0.08445636653
189	0.08425552209
190	0.08406474418
191	0.08377696009
192	0.08358345773
193	0.08332920097
194	0.08314394312
195	0.08292756648
196	0.08270662616
197	0.08242565383
198	0.08230509879
199	0.08208055978
200	0.08183197258
201	0.08164572806
202	0.08129341052
203	0.08110676452
204	0.08091562996
205	0.08068011697
206	0.0803196939
207	0.08008160888
208	0.07988483145
209	0.07964110394
210	0.07940068132
211	0.07923866682
212	0.07892793078
213	0.07868126252
214	0.07852800303
215	0.07825524895
216	0.07806947579
217	0.07786205217
218	0.07765277359
219	0.07736531479
220	0.07718592048
221	0.0768652936
222	0.07673580308
223	0.07662591401
224	0.07640895404
225	0.07626984825
226	0.076021998
227	0.07588708581
228	0.07569478177
229	0.075504307
230	0.0751876309
231	0.07497609097
232	0.07483919498
233	0.07467833899
234	0.07447725391
235	0.07439931039
236	0.07414085822
237	0.07395954397
238	0.07382889778
239	0.07370153617
240	0.07344661987
241	0.07335340651
242	0.07314175604
243	0.072746273
244	0.07247137317
245	0.07223751909
246	0.07203054621
247	0.07192889378
248	0.071799171
249	0.0715932821
250	0.07143707982
251	0.07114266999
252	0.07089504417
253	0.07049920072
254	0.0703948357
255	0.07013808187
256	0.06986357586
257	0.06964236019
258	0.06945179696
259	0.06925289127
260	0.06883346004
261	0.06860774359
262	0.06848603661
263	0.06836015195
264	0.06821200931
265	0.06803854101
266	0.06769567208
267	0.0675873737
268	0.06743533687
269	0.06730806681
270	0.06711890484
271	0.06701520315
272	0.06673061307
273	0.06659978058
274	0.06645760803
275	0.0661237247
276	0.06603024873
277	0.06586623406
278	0.06565335993
279	0.06522932065
280	0.0648924625
281	0.06467482167
282	0.06458131183
283	0.06440762247
284	0.06424446638
285	0.06413288217
286	0.06395225592
287	0.06363827565
288	0.06344929384
289	0.06311778782
290	0.06292475357
291	0.06277246831
292	0.06253527063
293	0.06240816406
294	0.06227425208
295	0.06218038629
296	0.06178769775
297	0.0615545905
298	0.06137098308
299	0.06107463646
300	0.06086124445
301	0.06058503624
302	0.06048655711
303	0.06029272734
304	0.06020075249
305	0.06008205529
306	0.05997833237
307	0.05987091252
308	0.05954946152
309	0.05943551129
310	0.05932387931
311	0.05911905059
312	0.05896457648
313	0.05883984017
314	0.05872013679
315	0.05848132506
316	0.05820765207
317	0.0580500502
318	0.057981982
319	0.05789296315
320	0.05774128508
321	0.05764041824
322	0.05744584541
